day,meal_type,meal_name,meal_id
Monday,Breakfast,Scrambled Eggs and Spinach,12
Monday,Lunch,Turkey Wraps,10
Monday,Dinner,Steak and Sweet Potatoes,9
Tuesday,Breakfast,Breakfast Sandwich,11
Tuesday,Lunch,Turkey Wraps,10
Tuesday,Dinner,Chicken Alfredo Bake,4
Wednesday,Breakfast,Scrambled Eggs and Spinach,12
Wednesday,Lunch,Turkey Wraps,10
Wednesday,Dinner,Chicken Stir Fry,2
Thursday,Breakfast,Breakfast Sandwich,11
Thursday,Lunch,Turkey Wraps,10
Thursday,Dinner,Ground Chicken & Spinach Pasta,5
Friday,Breakfast,Scrambled Eggs and Spinach,12
Friday,Lunch,Turkey Wraps,10
Friday,Dinner,Mediterranean Bowl,6
Saturday,Breakfast,Breakfast Sandwich,11
Saturday,Lunch,Turkey Wraps,10
Saturday,Dinner,Gochujang Chicken Bowl,1
Sunday,Breakfast,Scrambled Eggs and Spinach,12
Sunday,Lunch,Turkey Wraps,10
Sunday,Dinner,Beef Bulgogi Bowl,3
